Project Name,GroupID,Ground Truth,CRPWarner Prediction,Correct,Classification
Bitsubishi (BITSU),551,scam,True,True,Correct
MetaversePay (MVP),552,scam,False,False,False Negative
RoyalPay (ROYAL),553,scam,False,False,False Negative
Dwagon ($Dwagon),554,scam,False,False,False Negative
HashCoin (HSC),555,scam,True,True,Correct
Xystus (xys),556,scam,True,True,Correct
MINDOL (MIN),557,scam,True,True,Correct
CalorieCoin (CAL),558,scam,False,False,False Negative
OnlyChain(Only),559,scam,True,True,Correct
FXPay (FXP),560,scam,True,True,Correct
PayX Token (PAX),561,scam,True,True,Correct
MATT (MATT),562,scam,True,True,Correct
V-ID Token (VIDT),563,scam,False,False,False Negative
qiibeeToken (QBX),564,scam,False,False,False Negative
Proton Token (PTT),565,scam,True,True,Correct
Jobchain (JOB),566,scam,True,True,Correct
POPCHAIN CASH TOKEN (PCHT),567,scam,True,True,Correct
Insureum Token (ISR),568,scam,False,False,False Negative
Webflix Token (WFX),569,scam,False,False,False Negative
RealTract (RET),570,scam,True,True,Correct
BezantToken (BZNT),571,scam,True,True,Correct
blocktrade (BTT),572,scam,True,True,Correct
Internet Cashowbiz (ICBB),573,scam,True,True,Correct
ECOSCU (ECOSCU),574,scam,True,True,Correct
YGGDRASH (YEED),575,scam,True,True,Correct
ATMChain (ATM),576,scam,True,True,Correct
Bethereum (BETHER),577,scam,True,True,Correct
KFC Token(KFC),578,scam,True,True,Correct
SmartMesh Token (SMT),579,scam,False,False,False Negative
pahoo (pahoo),580,scam,True,True,Correct
AirSwap (AST),581,scam,True,True,Correct
Contentos (COS),582,scam,False,False,False Negative
HuobiPoolToken (HPT),583,scam,True,True,Correct
BFX (BFX),584,scam,True,True,Correct
W12 Token (W12),585,scam,False,False,False Negative
OneRoot Network (RNT),586,scam,True,True,Correct
AIRSHIB (AIRSHIB),587,scam,True,True,Correct
Dinosaur (Dinosaur),588,scam,True,True,Correct
TOKAU (TOKAU),589,scam,True,True,Correct
CargoX (CXO),590,scam,True,True,Correct
Space Doge(SpaceDoge),591,scam,True,True,Correct
AIREthereumMax INU (AIReMax),592,scam,True,True,Correct
EthereumMaX (eMax),593,scam,True,True,Correct
FoxSayfinance (FSY),594,scam,True,True,Correct
TopONE (TopONE) ,595,scam,True,True,Correct
Taobao Token (TAOB),596,scam,True,True,Correct
DAOSWAP (DAOSWAP),597,scam,True,True,Correct
Ultiverse (ULTI),598,scam,True,True,Correct
C2C (C2C),599,scam,True,True,Correct
ALTAVA Group (ALTAVA),600,scam,True,True,Correct
Wrapped BTC (WBTC),601,normal,True,False,False Positive
Render Token (RNDR),602,normal,False,True,Correct
Ampleforth Governance (FORTH),603,normal,False,True,Correct
Ethereum Name Service (ENS),604,normal,True,False,False Positive
FC Santos Fan Token (SANTOS),605,normal,False,True,Correct
FC Lazio Fan Token (LAZIO),606,normal,False,True,Correct
ALPINE Fan Token (ALPINE),607,normal,False,True,Correct
Baby Doge Coin (BabyDoge),608,normal,False,True,Correct
FLOKI (FLOKI),609,normal,True,False,False Positive
GM (GM),610,normal,False,True,Correct
Lido Staked Ether (STETH),611,normal,False,True,Correct
ChainLink Token (LINK),612,normal,False,True,Correct
Compound (COMP),613,normal,False,True,Correct
Lido DAO Token (LDO),614,normal,True,False,False Positive
Aave Token (AAVE),615,normal,False,True,Correct
Binance-Peg Cardano Token (ADA),616,normal,True,False,False Positive
1INCH Token (1INCH),617,normal,True,False,False Positive
Synthetix Network Token (SNX),618,normal,False,True,Correct
Ocean Token (OCEAN),619,normal,True,False,False Positive
Fetch (FET),620,normal,False,True,Correct
Binance-Peg Tezos Token (XTZ),621,normal,True,False,False Positive
AdEx Network (ADX),622,normal,True,False,False Positive
Binance-Peg Maker (MKR),623,normal,False,True,Correct
dForce (DF),624,normal,True,False,False Positive
Coin98 (C98),625,normal,True,False,False Positive
Cronos Coin (CRO),626,normal,True,False,False Positive
Euler (EUL),627,normal,False,True,Correct
Spool DAO Token (SPOOL),628,normal,True,False,False Positive
LooksRare Token (LOOKS),629,normal,True,False,False Positive
Rocket Pool (RPL),630,normal,False,True,Correct
TrueUSD (TUSD),631,normal,False,True,Correct
Chess (CHESS),632,normal,False,True,Correct
Gearbox (GEAR),633,normal,False,True,Correct
Tether USD (USDT),634,normal,True,False,False Positive
Aura (AURA),635,normal,True,False,False Positive
Ampleforth (AMPL),636,normal,False,True,Correct
AlpacaToken (ALPACA),637,normal,False,True,Correct
DODO bird (DODO),638,normal,True,False,False Positive
Fodl (FODL),639,normal,False,True,Correct
Kishu Inu (KISHU),640,normal,False,True,Correct
Props Token (PROPS),641,normal,False,True,Correct
Million (MM),642,normal,False,True,Correct
Franklin (FLy),643,normal,False,True,Correct
BASv2 (BASv2),644,normal,True,False,False Positive
DLP Duck Token (DUCK),645,normal,True,False,False Positive
Empty Set Dollar (ESD),646,normal,False,True,Correct
CACHE Gold (CGT),647,normal,False,True,Correct
Fasttoken (FTN),648,normal,False,True,Correct
Compound Wrapped BTC (cWBTC),649,normal,False,True,Correct
THE TRUTH (UFO),650,normal,True,False,False Positive
GateChainToken (GT),651,normal,True,False,False Positive
HuobiToken (HT),652,normal,False,True,Correct
Origin Dollar (OUSD),653,normal,False,True,Correct
Origin Ether (OETH),654,normal,False,True,Correct
EURA (previously agEUR) (EURA),655,normal,False,True,Correct
GoBlank Token (BLANK),656,normal,True,False,False Positive
Leo Token (LEO),657,normal,True,False,False Positive
Power Index Pool Token (PIPT),658,normal,False,True,Correct
EverValueCoin (EVA),659,normal,False,True,Correct
DeGate Token (DG),660,normal,False,True,Correct
Idle (IDLE),661,normal,False,True,Correct
Magpie Token (MGP),662,normal,True,False,False Positive
FARM Reward Token (FARM),663,normal,True,False,False Positive
Props Token (PROPS),664,normal,False,True,Correct
Pax Dollar (USDP),665,normal,False,True,Correct
DogeBonk.com (DOBO),666,normal,True,False,False Positive
Lympo Market Token (LMT),667,normal,True,False,False Positive
RAE Token (RAE),668,normal,True,False,False Positive
Zest Token (ZST),669,normal,False,True,Correct
VesperToken (VSP),670,normal,False,True,Correct
Wrapped Monero (WXMR),671,normal,False,True,Correct
Saddle.Finance (SADDLE),672,normal,True,False,False Positive
Auric Network (AUSCM),673,normal,False,True,Correct
Wault (WAULTx),674,normal,False,True,Correct
Rupiah Token (IDRT),675,normal,False,True,Correct
Impermax (IMX),676,normal,False,True,Correct
Digital Reserve Currency (DRC),677,normal,False,True,Correct
Bunny Token (BUNNY),678,normal,True,False,False Positive
xToken (XTK),679,normal,False,True,Correct
Deri (DERI),680,normal,True,False,False Positive
"
Bancor (BNT)",681,normal,True,False,False Positive
Dexe (DEXE),682,normal,False,True,Correct
BitberryToken (BBR),683,normal,True,False,False Positive
Fei USD (FEI),684,normal,True,False,False Positive
SafeMoonCash (SAFEMOONCASH),685,normal,False,True,Correct
SCROOGE (SCROOGE),686,normal,True,False,False Positive
Cryptocurrency Top 10 Tokens Index (CC10),687,normal,False,True,Correct
Shiba Predator (QOM),688,normal,True,False,False Positive
Concentrated Voting Power (CVP),689,normal,False,True,Correct
Crypto20 (C20),690,normal,False,True,Correct
Wrapped GLMR (WGLMR),691,normal,True,False,False Positive
Wrapped MOVR (WMOVR),692,normal,True,False,False Positive
Binance-Peg PAX Gold (PAXG),693,normal,False,True,Correct
THORChain ETH.RUNE,694,normal,True,False,False Positive
BENQI (QI),695,normal,False,True,Correct
Vesta (VSTA),696,normal,True,False,False Positive
Monolith (TKN),697,normal,True,False,False Positive
Akropolis (AKRO),698,normal,False,True,Correct
OKB (OKB),699,normal,False,True,Correct
JOJO (JOJO),700,normal,False,True,Correct
KuCoin Token (KCS),701,normal,False,True,Correct
Olympus (OHM),702,normal,True,False,False Positive
Uquid Coin (UQC),703,normal,True,False,False Positive
IceToken (ICE),704,normal,True,False,False Positive
HappyCoin (HAPPY),705,normal,False,True,Correct
dHEDGE Top Index (DTOP),706,normal,False,True,Correct
Kyber Network Crystal v2 (KNC),707,normal,False,True,Correct
Fringe (FRIN),708,normal,True,False,False Positive
Hotbit Token (HTB),709,normal,True,False,False Positive
USDK (USDK),710,normal,False,True,Correct
Compound Dai (cDAI),711,normal,False,True,Correct
Compound Ether (cETH),712,normal,True,False,False Positive
CelerToken (CELR),713,normal,True,False,False Positive
Unitus (UTS),714,normal,False,True,Correct
Compound USD Coin (cUSDC),715,normal,True,False,False Positive
MoonToken (MOON),716,normal,True,False,False Positive
Wrapped TON Coin (TONCOIN),717,normal,True,False,False Positive
SpookyToken (BOO),718,normal,True,False,False Positive
Republic (REN),719,normal,True,False,False Positive
FLEX Coin (FLEX),720,normal,True,False,False Positive
WaultSwap (WEX),721,normal,True,False,False Positive
CompliFi (COMFI),722,normal,False,True,Correct
Stader (SD),723,normal,False,True,Correct
Convergence (CONV),724,normal,False,True,Correct
Blind Boxes Token (BLES),725,normal,True,False,False Positive
Audius (AUDIO),726,normal,False,True,Correct
EarnX (EarnX),727,normal,False,True,Correct
Capsule Coin (CAPS),728,normal,False,True,Correct
Dai Stablecoin (DAI),729,normal,True,False,False Positive
Octo.fi (OCTO),730,normal,False,True,Correct
Meta (MTA),731,normal,True,False,False Positive
Bird.Money (BIRD),732,normal,False,True,Correct
Oms (OMS),733,normal,True,False,False Positive
Lodestar (LODE),734,normal,True,False,False Positive
Hunny Token (HUNNY),735,normal,False,True,Correct
Beta Token (BETA),736,normal,True,False,False Positive
UniCrypt (UNCX),737,normal,False,True,Correct
Level Token (LVL),738,normal,False,True,Correct
Axelar (AXL),739,normal,True,False,False Positive
Possum (PSM),740,normal,True,False,False Positive
Finance.Vote Token (FVT),741,normal,False,True,Correct
DSLA (DSLA),742,normal,False,True,Correct
Fuse Token (FUSE),743,normal,True,False,False Positive
UNIC (UNIC),744,normal,False,True,Correct
Binance-Peg Ethereum Token,745,normal,True,False,False Positive
Script Network (SCPT),746,normal,True,False,False Positive
SAND (SAND),747,normal,True,False,False Positive
Arbitrum (ARB),748,normal,False,True,Correct
Aptos Coin (APT),749,normal,False,True,Correct
Binance-Peg XRP Token (XRP),750,normal,True,False,False Positive
bitsCrunch Token (BCUT),751,normal,False,True,Correct
Illuvium (ILV),752,normal,False,True,Correct
Theta Token (THETA),753,normal,True,False,False Positive
Optimism (OP),754,normal,True,False,False Positive
HanChain (HAN),755,normal,False,True,Correct
CyberConnect (CYBER),756,normal,True,False,False Positive
AITECH (AITECH),757,normal,True,False,False Positive
Radio Caca V2 (RACA),758,normal,False,True,Correct
VeChain (VET),759,normal,False,True,Correct
DexCheck (DCK),760,normal,False,True,Correct
Wrapped PAW (wPAW),761,normal,False,True,Correct
LimeWire Token (LMWR),762,normal,True,False,False Positive
Gelato Network Token (GEL),763,normal,False,True,Correct
PORTAL (PORTAL),764,normal,False,True,Correct
Miracleplay Token (MPT),765,normal,False,True,Correct
GMX(GMX),766,normal,True,False,False Positive
ZKLink (ZKL),767,normal,False,True,Correct
GoMining Token (GMT),768,normal,True,False,False Positive
Cartesi Token (CTSI),769,normal,True,False,False Positive
SeedifyFund (SFUND),770,normal,False,True,Correct
Boba Token (BOBA),771,normal,False,True,Correct
izumi Token (iZi),772,normal,True,False,False Positive
Openfabric (OFN),773,normal,False,True,Correct
ChronoTech Token (TIME),774,normal,False,True,Correct
Geodnet Token (GEOD),775,normal,False,True,Correct
MLTToken (ML),776,normal,True,False,False Positive
Masa Token (MASA),777,normal,False,True,Correct
OPEN GPU (oGPU),778,normal,False,True,Correct
Rubic (BRBC),779,normal,False,True,Correct
BOSAGORA (BOA),780,normal,False,True,Correct
5ire Token (5IRE),781,normal,False,True,Correct
Mint.club (MINT),782,normal,True,False,False Positive
Altura (ALU),783,normal,True,False,False Positive
DODO bird (DODO),784,normal,True,False,False Positive
SafePal Token (SFP),785,normal,False,True,Correct
TokenFi (TOKEN),786,normal,True,False,False Positive
ApeCoin (APE),787,normal,True,False,False Positive
ORBOFI (OBI),788,normal,True,False,False Positive
Boson Token (BOSON),789,normal,False,True,Correct
ARPA Token (ARPA),790,normal,True,False,False Positive
LayerZero (ZRO),791,normal,True,False,False Positive
Phala (PHA),792,normal,True,False,False Positive
Tellor Tributes (TRB),793,normal,False,True,Correct
Perpetual (PERP),794,normal,True,False,False Positive
THORChain ETH.RUNE (RUNE),795,normal,True,False,False Positive
Brickken (BKN),796,normal,False,True,Correct
chiliZ (CHZ),797,normal,True,False,False Positive
IoTeX Network (IOTX),798,normal,True,False,False Positive
CreoEngine (CREO),799,normal,True,False,False Positive
MARBLEX on BNB (MBX),800,normal,False,True,Correct
Swipe (SXP),801,normal,True,False,False Positive
Singularity Dao (SDAO),802,normal,False,True,Correct
LTO Network Token (LTO),803,normal,True,False,False Positive
Mysterium (PoS) (MYST),804,normal,False,True,Correct
LandRocker (LRT),805,normal,True,False,False Positive
MAGA VP (MVP),806,normal,True,False,False Positive
Swash Token (SWASH),807,normal,False,True,Correct
Ethena (ENA),808,normal,False,True,Correct
Binance-Peg COTI Token (COTI),809,normal,False,True,Correct
TOPIA (TOPIA),810,normal,True,False,False Positive
PayPal USD (PYUSD),811,normal,False,True,Correct
FABWELT (WELT),812,normal,True,False,False Positive
OpulousToken (OPUL),813,normal,False,True,Correct
Ondo U.S. Dollar Yield (USDY),814,normal,False,True,Correct
SIDUS (SIDUS),815,normal,True,False,False Positive
Injective Token (INJ),816,normal,False,True,Correct
NFE (NFE),817,normal,False,True,Correct
Layer3 (L3),818,normal,False,True,Correct
BSCS Token (BSCS),819,normal,False,True,Correct
Hot Cross Token (HOTCROSS),820,normal,True,False,False Positive
Ankr Network (ANKR),821,normal,True,False,False Positive
Pendle (PENDLE),822,normal,False,True,Correct
HORD Token (HORD),823,normal,False,True,Correct
Polytrade (TRADE),824,normal,True,False,False Positive
Tribal Token (TRIBL),825,normal,False,True,Correct
Maple Token (MPL),826,normal,False,True,Correct
Wisdomise (WSDM),827,normal,True,False,False Positive
EdgeMatrix Computing network (EMC),828,normal,False,True,Correct
Curve DAO Token (CRV),829,normal,False,True,Correct
BandToken (BAND),830,normal,True,False,False Positive
Ambire Wallet (WALLET),831,normal,True,False,False Positive
Locus Chain (LOCUS),832,normal,False,True,Correct
METABEAT (BEAT),833,normal,True,False,False Positive
NETVRK (NTVRK),834,normal,True,False,False Positive
BetProtocolToken (BEPRO),835,normal,True,False,False Positive
Artrade Token (ATR),836,normal,False,True,Correct
beefy.finance (BIFI),837,normal,True,False,False Positive
Cookie (COOKIE),838,normal,True,False,False Positive
iMe Lab (LIME),839,normal,False,True,Correct
MagicCraft (MCRT),840,normal,True,False,False Positive
Binance-Peg Tezos Token (XTZ),841,normal,True,False,False Positive
First Digital USD (FDUSD),842,normal,False,True,Correct
Morpheus.Network (MNW),843,normal,True,False,False Positive
XinFin XDCE (XDCE),844,normal,False,True,Correct
Zeta (ZETA),845,normal,True,False,False Positive
KEEP Token (KEEP),846,normal,False,True,Correct
Lumerin (LMR),847,normal,False,True,Correct
Dimitra Token (DMTR),848,normal,False,True,Correct
Bholdus Token (BHO),849,normal,False,True,Correct
CREDI [via ChainPort.io] (CREDI),850,normal,True,False,False Positive
CHEELEE (CHEEL),851,normal,False,True,Correct
pTokens TLOS (TLOS),852,normal,False,True,Correct
Forta (FORT),853,normal,False,True,Correct
SquidGrow (SQGROW),854,normal,False,True,Correct
VOXEL Token (VOXEL),855,normal,False,True,Correct
PYR Token (PYR),856,normal,False,True,Correct
AirSwap (AST),857,normal,True,False,False Positive
Monsta Infinite Token (MONI),858,normal,True,False,False Positive
RepubliK (RPK),859,normal,True,False,False Positive
Request (REQ),860,normal,True,False,False Positive
NKN (NKN),861,normal,True,False,False Positive
Victoria VR (VR),862,normal,False,True,Correct
Adventure Gold (AGLD),863,normal,True,False,False Positive
PAAL AI ($PAAL),864,normal,False,True,Correct
Threshold Network Token,865,normal,True,False,False Positive
Venus (XVS),866,normal,False,True,Correct
Stader (SD),867,normal,False,True,Correct
DeFiYieldProtocol (DYP),868,normal,False,True,Correct
Aurox Token (URUS),869,normal,True,False,False Positive
Binance-Peg Filecoin (FIL),870,normal,False,True,Correct
Rai.Finance (SOFI),871,normal,False,True,Correct
Perion Credits (PERC),872,normal,False,True,Correct
Oraichain Token (ORAI),873,normal,False,True,Correct
Marlin POND (POND),874,normal,False,True,Correct
TRON (TRX),875,normal,True,False,False Positive
MATH Token (MATH),876,normal,True,False,False Positive
OpenOcean (OOE),877,normal,True,False,False Positive
BabySwap Token (BABY),878,normal,True,False,False Positive
Everdome (DOME),879,normal,True,False,False Positive
tomi Token (TOMI),880,normal,False,True,Correct
Playermon (PYM),881,normal,True,False,False Positive
Granary Token (GRAIN),882,normal,False,True,Correct
TravaFinance Token (TRAVA),883,normal,True,False,False Positive
Pepe (PEPE),884,normal,False,True,Correct
Atlas Navi (NAVI),885,normal,True,False,False Positive
SKALE (SKL),886,normal,False,True,Correct
Binance-Peg Zcash Token (ZEC),887,normal,True,False,False Positive
Lever (LEVER),888,normal,False,True,Correct
Storj (STORJ),889,normal,False,True,Correct
DAO Maker (DAO),890,normal,False,True,Correct
Coinweb (CWEB),891,normal,True,False,False Positive
Decentraland (MANA),892,normal,True,False,False Positive
Dai Stablecoin (DAI),893,normal,True,False,False Positive
Synternet Token (SYNT),894,normal,False,True,Correct
Zentry (ZENT),895,normal,True,False,False Positive
Aragon Network Token (ANT),896,normal,True,False,False Positive
Axie Infinity Shard (AXS),897,normal,False,True,Correct
Clearpool (CPOOL),898,normal,False,True,Correct
Lithium (LITH),899,normal,False,True,Correct
GAMEE (GMEE),900,normal,True,False,False Positive
Convex Token (CVX),901,normal,True,False,False Positive
Agoras Token (AGRS),902,normal,True,False,False Positive
Binance-Peg EOS Token (EOS),903,normal,True,False,False Positive
Arkham (ARKM),904,normal,False,True,Correct
Mass Vehicle Ledger Token (MVL),905,normal,True,False,False Positive
Genopets (GENE),906,normal,True,False,False Positive
Kromatika (KROM),907,normal,False,True,Correct
Dogechain Token (DC),908,normal,True,False,False Positive
Quant (QNT),909,normal,True,False,False Positive
STASIS EURS Token (EURS),910,normal,True,False,False Positive
MANTRA DAO (OM),911,normal,True,False,False Positive
Frax (FRAX),912,normal,False,True,Correct
Ethereum Name Service (ENS),913,normal,True,False,False Positive
Wrapped Flow (WFLOW),914,normal,False,True,Correct
Bridge (BRG),915,normal,True,False,False Positive
COS (COS),916,normal,True,False,False Positive
BSC-Peg Thunder Token (TT),917,normal,False,True,Correct
Pomerium Ecosystem Token (PMG),918,normal,True,False,False Positive
Lossless Token (LSS),919,normal,True,False,False Positive
UniCrypt (UNCX),920,normal,False,True,Correct
hoge.finance (HOGE),921,normal,False,True,Correct
Autonolas (OLAS),922,normal,True,False,False Positive
PolkaBridge (PBR),923,normal,False,True,Correct
XEND (XEND),924,normal,True,False,False Positive
Chronicle (XNL),925,normal,True,False,False Positive
Messier (M87),926,normal,True,False,False Positive
Alvey Chain (wALV),927,normal,True,False,False Positive
Omni Network (OMNI),928,normal,True,False,False Positive
Dimo (DIMO),929,normal,False,True,Correct
TOWER (TOWER),930,normal,True,False,False Positive
VIDT DAO (VIDT),931,normal,False,True,Correct
ZigCoin (ZIG),932,normal,False,True,Correct
Everipedia IQ (IQ),933,normal,True,False,False Positive
Vita Inu (VINU),934,normal,True,False,False Positive
The Force Token (FOR),935,normal,False,True,Correct
Polka City (POLC),936,normal,True,False,False Positive
Parsiq Token (PRQ),937,normal,True,False,False Positive
MetFi (MFI),938,normal,True,False,False Positive
ZEBEC (ZBC),939,normal,False,True,Correct
NuLink token (NLK),940,normal,True,False,False Positive
SynFutures (F),941,normal,True,False,False Positive
E-RADIX (eXRD),942,normal,True,False,False Positive
AltLayer Token (ALT),943,normal,True,False,False Positive
Beyond Protocol (BP),944,normal,True,False,False Positive
Neurashi (NEI),945,normal,True,False,False Positive
KISSAN (KSN),946,normal,False,True,Correct
DeHub (DeHub),947,normal,False,True,Correct
PointPay Token (PXP),948,normal,True,False,False Positive
TAP Coin (TAP),949,normal,True,False,False Positive
Thetan Gem (THG),950,normal,False,True,Correct
Aurora (AURORA),951,normal,False,True,Correct
MARS4 (MARS4),952,normal,False,True,Correct
qiibeeToken (QBX),953,normal,False,True,Correct
Woonkly Power (WOOP),954,normal,False,True,Correct
Forward ($FORWARD),955,normal,True,False,False Positive
zkRace (ZERC),956,normal,True,False,False Positive
mETH (mETH),957,normal,False,True,Correct
SELF Crypto (SELF),958,normal,True,False,False Positive
haDAO (MAHA),959,normal,False,True,Correct
EXVERSE (EXVG),960,normal,True,False,False Positive
Okratech (ORT),961,normal,True,False,False Positive
Throne (THN),962,normal,True,False,False Positive
Polkamarkets (POLK),963,normal,True,False,False Positive
Onyxcoin (XCN),964,normal,False,True,Correct
Alvey Chain (wALV),965,normal,True,False,False Positive
MarsDAO (MDAO),966,normal,False,True,Correct
Metaverser Token (mtvt),967,normal,True,False,False Positive
WAX Token (WAX),968,normal,True,False,False Positive
AiMalls (AIT),969,normal,False,True,Correct
Playbux (PBUX),970,normal,False,True,Correct
Umbrella (UMB),971,normal,True,False,False Positive
Civic (CVC),972,normal,False,True,Correct
Position Token (POSI),973,normal,False,True,Correct
Metahero (HERO),974,normal,False,True,Correct
Keep3rV1 (KP3R),975,normal,False,True,Correct
GraphLinq (GLQ),976,normal,True,False,False Positive
World Coin (World Coin),977,normal,False,True,Correct
XWG (XWG),978,normal,True,False,False Positive
eesee (ESE),979,normal,False,True,Correct
Celsius (CEL),980,normal,True,False,False Positive
FevrToken (FEVR),981,normal,True,False,False Positive
Alchemy (ACH),982,normal,True,False,False Positive
WEXO (WEXO),983,normal,False,True,Correct
Inspect (INSP),984,normal,False,True,Correct
Ferrum Network Token (FRM),985,normal,False,True,Correct
Movement (MOVE),986,normal,False,True,Correct
Energi (NRG),987,normal,False,True,Correct
Ispolink Token (ISP),988,normal,True,False,False Positive
BlackCardCoin (BCCoin),989,normal,False,True,Correct
Wrapped SYS (WSYS),990,normal,True,False,False Positive
Reef.finance (REEF),991,normal,True,False,False Positive
Reserve Rights (RSR),992,normal,False,True,Correct
O3 Swap Token (O3),993,normal,True,False,False Positive
SOS (SOS),994,normal,True,False,False Positive
Quickswap (QUICK),995,normal,True,False,False Positive
Dvision (DVI),996,normal,False,True,Correct
Metars (MRS),997,normal,False,True,Correct
PLANET (PLANET),998,normal,True,False,False Positive
Gnosis (GNO),999,normal,False,True,Correct
WAM (WAM),1000,normal,False,True,Correct
Frontier Token (FRONT),1001,normal,False,True,Correct
